prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
x	br;sp;sao.paulo	municipal	lei	2015	12	PL 12 				 	DISPOE SOBRE A AUTOGESTAO NA MORADIA E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	res	2009	24	PR 24 				economia-solidaria; frente-parlamentar	DISPOE SOBRE A CRIACAO DA FRENTE PARLAMENTAR EM DEFESA A POLITICA DE FOMENTO A ECONOMIA POPULAR SOLIDARIA NO AMBITO DO MUNICIPIO DE SAO PAULO, E DA OUTRAS PROVIDENCIAS
x	br;sp;sao.paulo	municipal	res	2009	35	PR 35 				cooperativismo; frente-parlamentar	CRIA FRENTE PARLAMENTAR DE APOIO AO COOPERATIVISMO- FRENCOOP PAULISTANA , NA CAMARA MUNICIPAL DE SAO PAULO
x	br;sp;sao.paulo	municipal	res	2013	6	PR 6 				cooperativa; frente-parlamentar	FICA CRIADA, NO AMBITO DA CAMARA MUNICIPAL DE SAO PAULO, EM CARATER INDETERMINADO, A FRENTE PARLAMENTAR DE APOIO AO COOPERATIVISMO - FRENCOOP PAULISTA
	br;sp;carapicuiba	municipal									
	br;sp;diadema	municipal									
	br;sp;maua	municipal									
	br;sp;osasco	municipal									
	br;sp;santo.andre	municipal									
	br;sp;sao.bernardo	municipal									
	br;sp;sao.carlos	municipal	lei	2010	15196	LEI 15.196				economia-solidaria	
	br;sp;sao.paulo	ANURB	por		23	PORTARIA ANURB 23					
	br;sp;sao.paulo	ANURB	por		28	PORTARIA ANURB 28					
	br;sp;sao.paulo	CMSP	res	2007	7	RESOLUCAO DA CMSP Nº 7 	Vig	N		frente-parlamentar	Institui a Frente Parlamentar em Defesa do Uso Racional e Responsável de Produtos e Incentivo da Reciclagem de Materiais, na Cidade de São Paulo, e dá outras providências.
	br;sp;sao.paulo	CMSP	res	2013	4	RESOLUCAO DA CMSP Nº 4 	Vig			 	Cria a Frente Parlamentar de Apoio ao Cooperativismo - FRENCOOP Paulistana na Câmara Municipal de São Paulo.
	br;sp;sao.paulo	CMSP	res	2013	12	RESOLUCAO DA CMSP Nº 12 	Vig			 	Institui a Frente Parlamentar em Defesa das Microempresas, das Empresas de Pequeno Porte, dos Microempreendedores Individuais e das Cooperativas no âmbito do Município de São Paulo, e dá outras providências.
	br;sp;sao.paulo	CMSP	res	2013	17	resolução da CMSP n.17	Vig			frente-parlamentar; economia-solidaria	Dispõe sobre a criação da Frente Parlamentar em Defesa à Política de Fomento à Economia Popular Solidária no âmbito do Município de São Paulo e dá outras providências.
	br;sp;sao.paulo	municipal	dec	2002	42290	DECRETO Nº 42.290 	Vig	S		cooperativa; reciclagem	Institui o Programa Socioambiental Cooperativa de Catadores de Material Reciclavel, e da outras providencias.
